AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Dog,Yorkshire Terrier,8.7,6.4,Allergies,Anorexia,Diarrhea,Coughing,Weight loss,Fever
cat,Sphynx,15.7,5.8,Dental issues,Loss of eat,Difficulty in breathing,Swelling ,Lameness,Neurologic abnormalities
Dog,Rottweiler,6.9,25.0,Vaccinated,Weight loss,Anorexia,Fever,Wool is clumped,Pains to Walk
Dog,Poodle,4.3,5.1,Previous kidney disease,Weight loss,Lethargy,Weakness,Vomiting,Joint Pain
Dog,Boxer,13.4,13.4,Vaccinated,Bloody Drool,Lossened Teeth,Foul Breath,Facial Swelling,Unable To Eat
cat,Ragdoll,3.6,6.8,Skin conditions history,wasting,stumbling,listlessness,drooling,drooping ears
cat,Sphynx,3.4,7.1,No previous conditions,Tremor of head and neck,Blindness,Kicking at the belly,Exercise in tolerance,Pains
Dog,German Shepherd,7.9,37.8,Parasite history,Oedema,Diarrhea,Weakness,Sneezing,Sneezing
cat,Maine Coon,8.0,5.7,Previous heart condition,diarrhea,sudden death,lack of appetite,high body temperaure,loss of appetite
cat,British Shorthair,8.9,3.2,Not vaccinated,Weakness,Weight loss,Vomiting,Pain,Coughing
cat,Ragdoll,10.8,6.4,Chronic illness,Vomiting,Vomiting,Vomiting,Coughing,Pain
Dog,Labrador Retriever,6.2,36.4,No previous conditions,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains
cat,Maine Coon,9.0,7.3,Not vaccinated,Vomiting,Death of lamb,Diarrhea,Pain,Lethargy
Dog,Mixed Breed,4.8,23.3,Recent surgery,Diarrhea,Diarrhea,Anorexia,Diarrhea,Diarrhea
cat,Ragdoll,11.8,5.8,Allergies,Coughing,Lethargy,Vomiting,Weakness,Sneezing
cat,Ragdoll,13.6,8.2,Skin conditions history,Sneezing,Fever,Partial Paralysis,Vomiting,Lethargy
cat,Sphynx,4.4,6.9,Previous heart condition,Eye become dull,Redness of eye,Lethargy,Fever,Weakness
Dog,Rottweiler,9.3,43.1,No previous conditions,Eye redness,Frequent eye Infections,Crusty eye lashes and matting of eyelashes,foul smelling stools, increased passing gas
cat,Ragdoll,10.1,5.5,Chronic illness,Fever,Anorexia,Bubbles in the mouth,Diarrhea,Weight loss
Dog,Labrador Retriever,8.7,36.6,Skin conditions history,Fever,Inflammed eye,Sneezing,Depression,Limping
cat,Ragdoll,10.5,5.4,Previous heart condition,Effort to breath,Coughing,Wheezing,Swallowing,Rapid Breathing
cat,Scottish Fold,11.4,4.4,Previous heart condition,Wheezing,Rapid Breathing,Coughing,Swallowing,Effort to breath
cat,Ragdoll,18.0,6.8,No previous conditions,Coughing,Vomiting,Pain,Lethargy,Lethargy
cat,British Shorthair,6.1,6.1,No previous conditions,Barren ewes,Fever,Weight loss,Pain,Vomiting
Dog,Bulldog,3.4,19.4,Allergies,Watery Diarrhea dispropotion,Sick,Corneal Ulceration,Loss of appetite,Death
Dog,Boxer,3.2,16.2,Previous kidney disease,Swelling of udder,change in milk,Swollen,Tender to touch,Pain
cat,Sphynx,12.0,6.5,Skin conditions history,Anorexia,Isolation from flock,Lethargy,Weight loss,Fever
cat,British Shorthair,9.7,3.2,Not vaccinated,Anorexia,Diarrhea,Sneezing,Coughing,Sneezing
Dog,Mixed Breed,11.8,22.1,Recent surgery,Fever,Diarrhea,Weight loss,Coughing,Lethargy
cat,Persian,3.5,2.8,Skin conditions history,Weight loss,drooling,Painfull,Lethargy,Weakness
Dog,Bulldog,10.9,17.4,Vaccinated,Fever,Coughing,Anorexia,Pain,Coughing
Dog,Bulldog,8.0,17.0,Skin conditions history,Pain,Pain,Pain,Vomiting,Weakness
cat,Persian,5.1,6.1,Not vaccinated,Anorexia,Coughing,Fever,Lethargy,Weight loss
Dog,Bulldog,2.0,21.0,Skin conditions history,Extreme thirst,bloody discharge,Loss of appetite,inability to fly,loss of wariness
Dog,Boxer,7.3,27.7,Previous kidney disease,Watery Diarrhea dispropotion,Sick,Corneal Ulceration,Loss of appetite,Death
Dog,German Shepherd,0.5,41.9,Allergies,Sneezing,Anorexia,Lethargy,Mortality,Blood in urine
Dog,Golden Retriever,4.9,29.7,Vaccinated,Anorexia,Anorexia,Sneezing,Vomiting,Anorexia
Dog,Bulldog,13.5,22.9,Not vaccinated,Limping,Willnot run to jump,Swelling ,Week legs,Pain on leg
Dog,Poodle,10.1,9.6,Allergies,Anorexia,respiratory noise,Fever,Ruffled feathers,Coughing
Dog,Boxer,7.3,29.7,Not vaccinated,Anorexia,Skin infection,Weight loss,Weakness,Weakness
Dog,Yorkshire Terrier,4.8,7.9,Parasite history,Decreased milk,Holding limbs off the ground,Weight loss,Lameness,Wool production
Dog,Yorkshire Terrier,10.2,9.8,Vaccinated,Mortality varies,Lethargy,egg production decreases,Lethargy,Lethargy
cat,Siamese,12.7,5.0,Not vaccinated,Lethargy,Weight loss,Nible at their wool,Sneezing,Weight loss
cat,Bengal,1.2,4.7,No previous conditions,Fever,Abortion,Vomiting,Weight loss,Anorexia
cat,Scottish Fold,11.5,4.0,Not vaccinated,Fever,Weakness,Anorexia,Vomiting,Coughing
Dog,Labrador Retriever,9.2,31.5,Allergies,Coughing,Yellowish Discharge,Chronic eye inflamation,Pain,Sneezing
cat,Ragdoll,0.8,5.6,Previous kidney disease,wasting,stumbling,drooling,drooping ears,listlessness
cat,British Shorthair,8.6,6.1,Parasite history,Fever,Tiredness,Swollen kidney,Hematuria,Muscle aches
cat,Maine Coon,13.3,7.2,No previous conditions,Skin infection,Septic Arthritis,Small red bumps,Pneumonia ,Pain
cat,British Shorthair,12.5,4.1,Previous heart condition,gasping for breath,Loss of consciousness,Sneezing,Fever,Scabs
cat,British Shorthair,16.3,7.4,No previous conditions,Sneezing,Diarrhea,Sneezing,Fever,Pain
cat,Mixed Breed,17.3,2.5,Recent surgery,Weakness,Vomiting,Shortness of breath.,Pain,Sneezing
cat,Ragdoll,1.6,8.2,Vaccinated,Weakness,Anorexia,Swelling of face or leg,Pain,Production of mucus
cat,Sphynx,6.0,5.4,Chronic illness,dry or tacky gums,Ataxia,Hepatic failure,Lethargy,Weight loss
cat,Scottish Fold,8.0,8.0,Skin conditions history,Diarrhea,Weight loss,Diarrhea,Pain,Weight loss
cat,Sphynx,5.6,5.2,Recent surgery,Diarrhea,Bottle Jaw,Pot belly,Inability to stand ,Dry Hair coat
Dog,Poodle,3.1,4.8,Skin conditions history,Excessive blood loss,dizziness and fainting,Blurry vision,watery eyes,slow growth
Dog,Poodle,12.0,6.6,Previous heart condition,Coughing,Diarrhea,Pain,Vomiting,Diarrhea
Dog,Beagle,15.0,29.7,Chronic illness,Rubbing eye,Weakness,Diarrhea,Joint Pain,Lethargy
Dog,Mixed Breed,9.0,32.3,Not vaccinated,Most often none,Sneezing,Nasal Discharge,Dyspnea,Pain
cat,Sphynx,11.7,4.2,Parasite history,Pain,Vomiting,Fatique,Abortion ,Weakness
Dog,German Shepherd,13.1,44.9,Previous kidney disease,Restlessness,Weakness,Blue straws,Death,Pain
cat,Bengal,16.1,4.5,Recent surgery,Fever,Difficulty in breathing,Coughing,Sneezing,Seizures
cat,Ragdoll,6.8,7.5,Dental issues,sudden death,high temperature,difficulty breating,Weight loss,trembling
Dog,Yorkshire Terrier,8.3,6.8,Skin conditions history,Weight loss,Weakness,Swollen comb,Vomiting,Most often none
Dog,Labrador Retriever,10.1,41.2,Chronic illness,Fever,Pain,Anorexia,High moratality,Diarrhea
Dog,Yorkshire Terrier,8.0,7.0,Not vaccinated,Vomiting,Neck paralysis,Diarrhea,Anorexia,Coughing
cat,Bengal,14.6,2.7,Allergies,Skeleten abnormalities,Facial defects,Hair loss,Flat ribs,Underdeveloped muscles
cat,Scottish Fold,11.6,5.2,Allergies,Sneezing,Weakness,Sneezing,Achomotrica,Vomiting
cat,British Shorthair,0.5,6.8,Chronic illness,Apathy,Pain,Lethargy,Fever,Pain
Dog,Boxer,13.4,15.5,Allergies,Heat,Anorexia,Wheezing,Diarrhea,Anorexia
cat,Scottish Fold,15.8,5.7,No previous conditions,Watery Eyes,Eye closed,Weight loss,Sneezing,Nervous Issue
Dog,Poodle,10.5,6.5,Vaccinated,Depression,Anorexia,Coughing,Dyspnea,Neurologic sign
Dog,Beagle,4.7,15.7,Allergies,weakness,decreased stool production,distended stomach,heavy breathing,restless movement
Dog,Mixed Breed,9.6,9.3,Recent surgery,Fever,weakened legs,los of the ability to walk,Weight loss,Lameness
cat,Siamese,13.7,5.2,Previous kidney disease,Fever,Anorexia,Coughing,Fever,Coughing
Dog,Beagle,12.1,19.3,Previous kidney disease,Agalactia,Tear production,Teeth griding,Anorexia,Muscle pain
cat,Persian,18.0,6.7,Recent surgery,Weakness,Vomiting,Lethargy,Coughing,Diarrhea
Dog,Yorkshire Terrier,9.7,4.4,No previous conditions,Lethargy,Diarrhea,Lethargy,Sinuses,Coughing
cat,Siamese,6.1,8.0,Skin conditions history,Pain,Diarrhea,Anorexia,Weight loss,Vomiting
Dog,Poodle,8.0,3.4,Parasite history,Pyrexia,Oral lesion,Swelling,Lameness,Death
cat,Siamese,7.0,3.9,Not vaccinated,Fever,Pain,Weight loss,Skin ulcer,Circling
Dog,Beagle,3.3,15.5,Skin conditions history,Swollen,Testical Pain,Itches,Bloody discharge,Tenderness
cat,British Shorthair,11.1,5.4,Vaccinated,Wandering,Circling,Blindness,Head Pressing,Recumbency
cat,Persian,12.9,6.5,Dental issues,lymphosarcoma,Decreased appetite,Pain,Weakness,Lethargy
Dog,Beagle,8.8,23.7,Vaccinated,Fever,Diarrhea,Depression,Scratches,Weight Loss
cat,Sphynx,11.0,4.2,Dental issues,Fever,Dullness,Depression,Weight loss,Anorexia
Dog,Labrador Retriever,11.2,34.5,Not vaccinated,Pains,Malpresentation,Uteria inertia,Fetopelvic dispropotion,Death
Dog,Rottweiler,4.1,25.0,Skin conditions history,Lethargy,Pain,Pain,Sneezing,Weakness
Dog,Mixed Breed,0.5,40.0,Allergies,Anorexia,Vomiting,Weight loss,Coughing,Gagging
cat,Ragdoll,15.1,8.4,Skin conditions history,Scabs,Anorexia,Coughing,Fever,Lethargy
Dog,German Shepherd,10.4,42.7,Previous heart condition,Pnemonia,Coughing,Fever,Lethargy,Vomiting
cat,Ragdoll,5.9,5.4,Allergies,Not eating,Lethargy,Weakness,Vomiting,Vomiting
cat,British Shorthair,11.4,3.8,Parasite history,Fever,Lameness,Diarrhea,Coughing,Anorexia
cat,Siamese,4.3,4.4,Chronic illness,Lethargy,Sneezing,Pain,Sneezing,Blurry vision
cat,British Shorthair,6.3,5.0,Chronic illness,Diarrhea,Muscle twiching,Lameness,Fever,Weight loss
cat,Mixed Breed,17.6,6.1,Previous heart condition,Upset stomach,Loss of appetite,Nause,Weight loss,Abdonormal pain
Dog,Boxer,14.0,26.8,Dental issues,Anorexia,Weight loss,Speech delay,Pain,Coughing
cat,Ragdoll,5.8,7.6,Dental issues,Fever,Diarrhea,Pot belly,Death,Loss of appettite
cat,Ragdoll,17.4,7.5,Parasite history,Diarrhea,Anorexia,Coughing,Fever,Sneezing
Dog,Bulldog,6.9,18.8,Skin conditions history,Scartch,Scabs,Hair loss,Scaly patches of skin,Sore
Dog,Poodle,4.5,7.9,Not vaccinated,Loss od appetite,Wheezing,Seizuers,Skin rashes,Fatique
Dog,Beagle,9.3,16.2,Chronic illness,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains
cat,Persian,6.5,6.9,Vaccinated,Weight loss,Fever,Sneezing,Lethargy,Coughing
cat,Mixed Breed,15.8,4.4,Dental issues,Coughing,Lethargy,Weight loss,Sleeping Excessively,Weight loss
cat,Mixed Breed,8.3,5.8,Chronic illness,Weakness,Pain,Enteritis,Discharge From eyes,Behaviour change
Dog,Boxer,4.4,23.8,Previous heart condition,Pain,Anorexia,Lethargy,Weight loss,Lethargy
Dog,Boxer,9.8,24.0,Chronic illness,Fever,Tiredness,Headache,Skin rashes,Pain
Dog,German Shepherd,10.1,40.6,Previous kidney disease,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression
Dog,Labrador Retriever,15.3,36.1,Allergies,Tiredness,Coughing,Fever,Pains,Diarrhea
cat,Scottish Fold,15.7,3.2,Previous heart condition,Groosly enlarged,Skin may thicken,Convulsion,Edematous,Pains
Dog,Labrador Retriever,4.3,33.2,No previous conditions,Nausea,Loss of appetite,Firm,Distended stomach,Vomiting
Dog,Boxer,6.8,26.4,No previous conditions,Weight loss,Weakness,Diarrhea,Vomiting,Coughing
Dog,Boxer,6.3,15.0,Chronic illness,Lethargy,Weight loss,Weight loss,Feels stiff,Weight loss
Dog,Bulldog,11.6,28.2,Recent surgery,Swollen,Testical Pain,Itches,Bloody discharge,Tenderness
Dog,Beagle,9.0,26.0,Chronic illness,Stripped remiges,Less Feather growth,Ruffled feathers,Defienciency in vitamin,Diarrhea
Dog,Golden Retriever,0.8,41.4,Parasite history,Bad breath,Pawing at the face or nose,cough ,Sneezing,Bleeding from the nose
Dog,Mixed Breed,0.9,8.1,Allergies,Pains,Difficulty in breathing,Lethargy,Fever,Death
cat,British Shorthair,6.3,4.5,Vaccinated,Fever,Diarrhea,Muscle twiching,Lameness,Weight loss
cat,Mixed Breed,4.1,2.9,Chronic illness,Fever,Diarrhea,Vomiting,Dehydration,Pain
cat,Ragdoll,8.6,7.3,Previous kidney disease,Pain,Weakness,Lethargy,Skin issue,Extension of neck
cat,Siamese,11.2,6.2,Allergies,Round patches,Diarrhea,Fever,Fever,Lethargy
cat,Siamese,11.0,5.8,Skin conditions history,Unsteady Gait,Twitching,Blindness,Swelling on joints,Pains
cat,Ragdoll,3.6,7.9,Dental issues,Pain,Diarrhea,Anorexia,Vomiting,Diarrhea
cat,Bengal,2.9,6.8,Allergies,Coughing,Anorexia,Weakness,Skin ulcer,Coughing
cat,British Shorthair,1.0,7.7,Previous heart condition,Pain,Pain,Sneezing,Sneezing,Fever
Dog,Beagle,5.1,30.0,Allergies,Weight loss,Coughing,Sneezing,Vomiting,Muscle Trembling
cat,Maine Coon,9.6,7.0,Allergies,Fever,Diarrhea,Vomiting,Dehydration,Pain
Dog,Beagle,11.8,23.4,Previous heart condition,Pain,Hydrophobia,Diarrhea,Pain,Fever
cat,Scottish Fold,10.1,2.5,Parasite history,Pink eye,Pain,Coughing,Underdeveloped muscles,Anorexia
cat,Siamese,9.0,3.3,Recent surgery,Vomiting,Lethargy,Weightloss,Anorexia,Fever
cat,Persian,5.2,4.7,No previous conditions,Diarrhea,Lethargy,Pain,Weight loss,Pain
Dog,Golden Retriever,5.9,41.8,Previous kidney disease,Diarrhea,Anorexia,Weakness,Sneezing,Lethargy
cat,Ragdoll,17.7,6.4,Chronic illness,Diarrhea,Diarrhea,Vomiting,Coughing,Disharge from affected eye
Dog,Mixed Breed,8.1,8.0,No previous conditions,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite
Dog,Golden Retriever,2.9,30.0,Previous heart condition,Weight loss,Exercise in tolerance,Sneezing,Bad smell,Sneezing
cat,Bengal,10.6,3.5,No previous conditions,dull ness,Weight loss,Straining,Diarrhea,Fever
Dog,Labrador Retriever,11.5,35.3,Parasite history,Barren ewes,Sneezing,Pain,Vomiting,Sneezing
cat,Mixed Breed,10.3,5.7,No previous conditions,self-isolation,Coughing,SkinAllergy,Muscles ache,Anorexia
Dog,Yorkshire Terrier,12.4,6.7,No previous conditions,weakened legs,Fever,Lameness,los of the ability to walk,Weight loss
Dog,Labrador Retriever,2.8,34.6,Previous heart condition,Lethargy,Diarrhea,Lameness,Diarrhea,Sneezing
cat,Ragdoll,14.5,7.7,No previous conditions,Decrease appetite,Vomiting,Diarrhea,Fever,Salivation
Dog,Poodle,6.5,6.6,Chronic illness,Pain,Skin rashes,Fever,Headache,Tiredness
cat,Bengal,10.2,5.5,Not vaccinated,Animal gets uneasy,Difficulty in breathing,Difficult in respiration,Excessive production,Stamping And pedding of hind eye
cat,Persian,2.6,5.8,Previous kidney disease,Facial edema,Loss of earing,Vomiting,Head ache,Throat and Ear pain
cat,Ragdoll,8.4,6.3,Parasite history,wasting,stumbling,listlessness,drooling,urination problem
Dog,Mixed Breed,1.4,9.5,Not vaccinated,change their normal behaviour,diarrhea,stop eating,Pains,stop drinking
Dog,Labrador Retriever,14.9,37.4,Dental issues,Coughing,Unilateral Nasal discharge,Pain,anorexia,Weight loss
Dog,Beagle,6.7,25.6,Recent surgery,Strong cough,Lethargy,Darkened skin,Loss of appettite,Runny nose
cat,Siamese,4.2,4.6,Parasite history,wasting,stumbling,listlessness,drooling,urination problem
Dog,Golden Retriever,13.7,38.5,Dental issues,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy
Dog,Yorkshire Terrier,6.9,6.8,Previous heart condition,Fever,Depression,Facial paralysis,Lack of coordination,Salivation
Dog,Mixed Breed,8.2,40.0,Parasite history,Sneezing,Pain,Pain,Lethargy,Anorexia
Dog,Boxer,4.4,17.6,Parasite history,Diarrhea with muscus,Tensemus,Watery Stool,Flatulence,Pains
cat,British Shorthair,16.6,6.9,Chronic illness,Eye movements,Floopy muscle,Walking problem,Intellectual disability,Speech delay
cat,Sphynx,1.5,2.9,Dental issues,Weight loss,Pain,Fever,Lethargy,Fever
Dog,Golden Retriever,2.2,38.6,Previous heart condition,Lethargy,Weight loss,Weakness,Anorexia,Sneezing
Dog,German Shepherd,12.2,33.8,Previous heart condition,Vomiting,Fever,Anorexia,Coughing,Lethargy
Dog,Yorkshire Terrier,11.1,5.2,Vaccinated,Malpresentation,Fetopelvic dispropotion,Uteria inertia,Death,Pains
cat,Mixed Breed,4.9,3.3,Vaccinated,Sneezing,Sneezing,Sneezing,Weight loss,Jerky limb movements
cat,Siamese,8.2,5.0,No previous conditions,Lession on cat skin,Dandruff in cat coat,Red patches,Hair loss,Skin issue
Dog,Poodle,16.2,7.1,Chronic illness,Fever,Loss of  appetite,Coughing,Lethargy,Joint Pain
cat,Scottish Fold,5.5,6.4,Recent surgery,Urine retention,Coughing,Anorexia,Sneezing,Lethargy
cat,Sphynx,8.9,3.9,Chronic illness,Pain,Coughing,Weakness,Coughing,Pain
Dog,Poodle,12.6,5.2,Chronic illness,Coughing,Anorexia,Pain,Diarrhea,Anorexia
Dog,Golden Retriever,1.1,31.3,Previous heart condition,Fever,Respiratory distress,Occular discharge,Mouth lesion,Nasal Discharge
cat,Bengal,12.8,5.3,Parasite history,Difficulty in Breathing,Anorexia,Weakness,Sneezing,swollen lymph nodes
Dog,Yorkshire Terrier,15.0,3.0,Skin conditions history,Sneezing,Coughing,Anorexia,Fever,Lethargy
Dog,Golden Retriever,14.8,36.0,Dental issues,Fast breathing,Death,Pains,Fetopelvic dispropotion,Uteria inertia
cat,Mixed Breed,2.9,3.5,Vaccinated,Tail Wagging,Straining,Lethargy,Weakness,Diarrhea
cat,Mixed Breed,15.4,6.1,Chronic illness,Upset stomach,Loss of appetite,Nause,Weight loss,Abdonormal pain
Dog,Bulldog,1.7,28.0,Skin conditions history,Fever,Pox lession on skin,Skin reashes,Nasal discharge,Mortality varies
Dog,Labrador Retriever,1.0,27.4,No previous conditions,Cessation of eructation,Abnormal behaviour,Sharp Feather,Fever,Broody behavior
Dog,Rottweiler,8.0,26.5,Dental issues,Fever,Difficulty in breathing,Sneezing,Coughing,Rub
Dog,Rottweiler,2.1,21.9,Allergies,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing
Dog,Mixed Breed,13.8,33.4,Previous heart condition,lllthrift,Skin Lesion,Lameness,Swelling on theBody,Weight loss
Dog,Beagle,4.6,22.8,Skin conditions history,egg production decreases,Blindness,Distinctive bumps,stunted growth,Facial swelling
Dog,Beagle,2.3,18.2,Recent surgery,Inappentence,Diarrhea,Tremors of the head,Dehydration,Weight loss
Dog,Golden Retriever,8.3,22.3,Parasite history,Fever,Uncharacteristic hiding,Depression,Dehydration,Stopped eat
Dog,Rottweiler,10.8,44.6,Previous kidney disease,Lepatomegaly,Splenomegaly,Vomiting,Swollen,Shaking oh head
Dog,Bulldog,8.5,16.3,Allergies,Fever,Death,Coughing,Dyspnea,Anorexia
cat,Scottish Fold,11.0,5.0,Vaccinated,Small red bumps,Lethargy,Coughing,Lethargy,Kicking
cat,Mixed Breed,13.0,3.0,Previous heart condition,Weight loss,Anorexia,Vomiting,Weakness,Sneezing
Dog,Labrador Retriever,2.3,39.4,No previous conditions,Poor immune function,Achomotrica,Dehydration,Death,Pains
cat,Scottish Fold,18.0,7.7,No previous conditions,Weight loss,Thrist and urination,Fever,Decreased appetite,Coughing
cat,Mixed Breed,7.1,3.6,Skin conditions history,Pain,Swelling on leg,Hardness,Heat,Redness
cat,Mixed Breed,12.5,6.7,Chronic illness,Fever,Weight loss,Coughing,Vomiting,Sensitivity to bright light
Dog,Bulldog,12.3,17.9,No previous conditions,paresis,paralysis,Weakness,Stomach cramps,Diarrhea
cat,Ragdoll,13.7,5.1,Dental issues,Weakness,Anorexia,Sneezing,Vomiting,Pain
cat,Ragdoll,8.2,8.5,Dental issues,Anorexia,Fever,Coughing,Sneezing,Weight loss
Dog,Yorkshire Terrier,2.6,4.1,No previous conditions,Uteria inertia,Death,Fetopelvic dispropotion,Pains,Malpresentation
Dog,Labrador Retriever,2.6,36.3,Chronic illness,Diarrhea,Vomiting,Weakness,Cramps,Retarded Growth
Dog,German Shepherd,6.0,34.6,Skin conditions history,Fever,Diarrhea,Vomiting,Weight loss,Dehydration
cat,Mixed Breed,8.3,3.6,Skin conditions history,Swelling on leg,Heat,Hardness,Redness,Pain
Dog,Poodle,5.8,7.6,Dental issues,Weight loss,Anorexia,Weakness,Lethargy,Watering
Dog,Labrador Retriever,11.9,38.4,Previous kidney disease,Weight loss,Pain,Coughing,Weakness,Diarrhea
cat,Mixed Breed,2.5,3.9,Previous heart condition,Lethargy,Sneezing,Pain,Pain,Pain
Dog,Labrador Retriever,10.5,36.0,Not vaccinated,Abortion on late pregancy,Stillbirth,Retained Placenda,Endomeritis,Decrease appetite
cat,Bengal,10.6,5.0,Previous heart condition,Diarrhea,Anorexia,Diarrhea,Green Dropping,Coughing
cat,Maine Coon,9.6,7.0,Skin conditions history,Pain,inability to rise,Stomach growling,Sneezing,swollen
Dog,German Shepherd,10.0,29.5,Dental issues,Fever,Diarrhea,Swollen Abdomen,Vomiting,Difficulty in Breathing
cat,Sphynx,0.5,4.3,Chronic illness,Weakness,Diarrhea,Fever,Weight loss,Sneezing
cat,Bengal,12.1,6.9,Dental issues,Diarrhea,Secondary Infection,Weight loss,Pain,Sneezing
cat,Bengal,13.6,4.3,Not vaccinated,Weight loss,Fever,Diarrhea,Sneezing,Sneezing
Dog,Poodle,2.4,4.2,Dental issues,Runny nose,Difficulty in breathing,Coughing,Weakness,Loss of appettite
cat,Siamese,8.8,5.6,No previous conditions,Pain,Lethargy,Coughing,Sneezing,Diarrhea
Dog,Yorkshire Terrier,1.4,3.6,Recent surgery,Fever,Difficulty breathing,Thrist and urination,Lethargy,Sneezing
Dog,Boxer,11.1,15.0,Vaccinated,Diarrhea,Vomiting,Retching,Anorexia,Lethargy
cat,Sphynx,9.4,5.8,No previous conditions,Coughing,Vomiting,Weakness,swollen purple wattle,Self Mutilation
Dog,Yorkshire Terrier,10.8,7.1,Parasite history,Lethargy,Weightloss,Coughing,Dyspnea,Fever
Dog,Bulldog,12.7,28.0,Allergies,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy
Dog,Poodle,1.7,4.7,Recent surgery,Greenish-yellow nasal discharge,Lack of pigmentation,Sneezing,Lethargy,Pain on face
Dog,Rottweiler,1.5,31.9,Dental issues,Stealing ,Gasping,Sneezing,Loss of powder down,Diarrhea
Dog,Yorkshire Terrier,4.5,7.5,Not vaccinated,Anorexia,Pain,Diarrhea,Coughing,Fever
cat,Ragdoll,17.7,8.9,Skin conditions history,Continuous loss of weight,Regurgitation of food,wheezing,Excessive food intake,Undigested seeds
Dog,Labrador Retriever,5.7,37.4,Previous kidney disease,Sneezing,Diarrhea,Weakness,Pain,Weakness
Dog,Mixed Breed,1.5,27.3,Skin conditions history,Lip,Lethargy,Very cold skin,Fever,Decreased eyelid
Dog,Beagle,8.7,21.1,Allergies,Weight loss,Sneezing,Weight loss,Weakness,Lethargy
cat,Persian,6.5,6.0,Dental issues,Feather Loss,Feather Plucking,Coughing,Itching,Nasal Discharge
Dog,German Shepherd,14.4,34.8,Previous heart condition,loss of appetite,diarrhea,swollen purple wattle,Swollen comb,Lameness
Dog,Beagle,14.5,28.7,Parasite history,Ulcers,Diarrhea,Back Pain,Tarry Stool,Enlarged lymph nodes
cat,Maine Coon,7.9,5.0,Recent surgery,Pain,Pain,Weakness,Lethargy,Pain
Dog,Golden Retriever,3.6,36.5,Recent surgery,Weakness,Vomiting,Weight loss,Coughing,Coughing
Dog,Golden Retriever,2.6,25.0,Recent surgery,Diarrhea,Diarrhea,tiredness,Diarrhea,Weight loss
cat,Sphynx,3.5,6.5,Previous kidney disease,Tremor of head and neck,Blindness,Kicking at the belly,Exercise in tolerance,Pains
Dog,Golden Retriever,1.0,41.9,Skin conditions history,Lethargy,Sneezing,Blue straws,Sneezing,Sneezing
Dog,Golden Retriever,10.3,30.4,Recent surgery,Weight gain,Mucous discharge,Fever,Reduce feed,Respiratory distress
Dog,German Shepherd,3.2,37.0,Allergies,Vomiting,Anorexia,Heavy Breathing,Vomiting,Pain
Dog,Boxer,5.8,25.0,Vaccinated,Strong cough,Runny nose,Sneezing,Lethargy,Loss of appettite
cat,Bengal,7.5,6.5,Vaccinated,Bald patches,Hair loss,Crusty,Flaky,Red lesion from bald patches
cat,Bengal,9.5,2.8,Recent surgery,swelling problem,anorexia,bleeding from wounds,Difficulty in breathing,frequent yawning
Dog,German Shepherd,4.4,31.1,No previous conditions,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains
Dog,Labrador Retriever,8.4,23.8,Allergies,No appp,Dehydration,Lethargy,Vomiting,Watering
cat,Sphynx,6.0,6.8,Previous heart condition,Gasc,Loss of  appetite,Blood in stool,Stomach growling,Black stool
Dog,Poodle,9.3,3.2,Parasite history,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia
Dog,Boxer,1.0,28.9,No previous conditions,Puffed_up Feather,Less Eat,Headache,Half-closed eye,Seizures
cat,Sphynx,10.7,4.2,Dental issues,Fever,Dullness,Depression,Weight loss,Anorexia
Dog,Poodle,15.0,3.9,Previous kidney disease,Pain,Sneezing,Reduce Reproductive potential,Diarrhea,Weight loss
cat,Mixed Breed,9.0,3.3,Parasite history,Vomiting,Coughing,Anorexia,Diarrhea,Sneezing
cat,Siamese,14.7,6.3,Dental issues,Weakness,Diarrhea,Fever,Lethargy,Pain
cat,Maine Coon,8.6,7.3,Skin conditions history,Fever,Chills,Headache,Nausea,Pain
Dog,Poodle,5.9,6.4,Dental issues,Anorexia,Fever,Inability to jump,Weakness,Fever
Dog,Golden Retriever,3.8,35.6,No previous conditions,rapid pulse and heart rates,Constant pacing,Fever,Urination,Weight loss
cat,Ragdoll,1.3,7.4,Parasite history,Diarrhea,Coughing,Sneezing,Lethargy,Lethargy
cat,Persian,14.9,6.3,Recent surgery,Swelling,Loss of appetite,Wool loss,Tears,Death
Dog,Rottweiler,2.2,25.6,Parasite history,Fever,Difficulty breathing,Coughing,Lethargy,Sneezing
Dog,Yorkshire Terrier,8.6,3.6,Skin conditions history,Anorexia,Vomiting,Coughing,Diarrhea,Vomiting
cat,British Shorthair,18.0,6.3,Chronic illness,Fever,Sneezing,Diarrhea,Lethargy,Lethargy
cat,Maine Coon,14.6,5.8,Vaccinated,loss of appetite,lathargy,abortion,gurgling sound,Depression
